Player,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,rebounds/min,assists/min,blocks/min,stls/min,fouls/min,points/min,turnovers/min
calvin-wishart,Sat 2/19,vsLBSU,W84-71,23.0,6-8,75.0,3-4,75.0,3-4,75.0,4.0,0.0,0.0,1.0,3.0,1.0,18.0,0.17,0.0,0.0,0.04,0.13,0.78,0.04
calvin-wishart,Thu 2/17,vsCSUF,L67-58,33.0,3-6,50.0,1-4,25.0,3-4,75.0,3.0,1.0,0.0,1.0,2.0,1.0,10.0,0.09,0.03,0.0,0.03,0.06,0.3,0.03
calvin-wishart,Sat 2/12,@CP,W69-64,33.0,1-5,20.0,1-4,25.0,0-0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,3.0,0.0,0.09,0.0,0.03,0.03,0.09,0.03
calvin-wishart,Thu 2/10,@CSUB,W74-62,19.0,1-4,25.0,0-3,0.0,2-3,66.7,1.0,2.0,0.0,0.0,4.0,2.0,4.0,0.05,0.11,0.0,0.0,0.21,0.21,0.11
calvin-wishart,Sat 2/5,vsUCSD,W84-48,29.0,0-2,0.0,0-2,0.0,3-3,100.0,2.0,8.0,0.0,1.0,1.0,2.0,3.0,0.07,0.28,0.0,0.03,0.03,0.1,0.07
calvin-wishart,Thu 2/3,vsUCI,L53-52,33.0,2-7,28.6,1-4,25.0,0-2,0.0,2.0,3.0,0.0,1.0,3.0,2.0,5.0,0.06,0.09,0.0,0.03,0.09,0.15,0.06
calvin-wishart,Sat 1/29,@HAW,L65-62,30.0,2-5,40.0,1-3,33.3,0-0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,5.0,0.17,0.0,0.0,0.0,0.07,0.17,0.0
calvin-wishart,Tue 1/25,@CSUN,W72-45,17.0,1-2,50.0,0-1,0.0,2-3,66.7,6.0,3.0,0.0,2.0,2.0,3.0,4.0,0.35,0.18,0.0,0.12,0.12,0.24,0.18
calvin-wishart,Thu 12/30,@UCSD,L85-83 OT,42.0,1-6,16.7,0-1,0.0,2-2,100.0,3.0,7.0,0.0,2.0,1.0,1.0,4.0,0.07,0.17,0.0,0.05,0.02,0.1,0.02
calvin-wishart,Wed 12/22,vsIDST,W56-43,18.0,0-5,0.0,0-3,0.0,0-1,0.0,3.0,2.0,0.0,1.0,3.0,1.0,0.0,0.17,0.11,0.0,0.06,0.17,0.0,0.06
calvin-wishart,Sun 12/19,vsFAMU,W73-62,28.0,2-8,25.0,1-4,25.0,2-2,100.0,3.0,8.0,0.0,1.0,3.0,1.0,7.0,0.11,0.29,0.0,0.04,0.11,0.25,0.04
calvin-wishart,Tue 12/14,@PAC,L80-71 OT,21.0,0-1,0.0,0-1,0.0,4-5,80.0,1.0,3.0,0.0,1.0,5.0,2.0,4.0,0.05,0.14,0.0,0.05,0.24,0.19,0.1
calvin-wishart,Sat 12/11,@SMC,L80-59,24.0,2-5,40.0,1-3,33.3,1-2,50.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,0.04,0.0,0.04,0.0,0.25,0.04
calvin-wishart,Sun 12/5,vsCLU,W87-66,21.0,2-4,50.0,1-2,50.0,0-0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,5.0,0.14,0.0,0.047619047619047616,0.0,0.1,0.24,0.0
calvin-wishart,Fri 12/3,vsPEPP,W86-74,28.0,5-6,83.3,4-4,100.0,9-9,100.0,2.0,3.0,0.0,2.0,1.0,3.0,23.0,0.07,0.11,0.0,0.07,0.04,0.82,0.11
calvin-wishart,Mon 11/29,vsUTA,L70-62,30.0,4-10,40.0,2-5,40.0,0-1,0.0,4.0,2.0,1.0,2.0,2.0,2.0,10.0,0.13,0.07,0.03333333333333333,0.07,0.07,0.33,0.07
calvin-wishart,Wed 11/24,vsUAPB,W86-58,19.0,2-4,50.0,0-1,0.0,0-0,0.0,3.0,3.0,0.0,1.0,4.0,1.0,4.0,0.16,0.16,0.0,0.05,0.21,0.21,0.05
calvin-wishart,Sat 11/20,vsCHIC,W81-50,25.0,4-5,80.0,2-3,66.7,2-2,100.0,3.0,3.0,0.0,3.0,1.0,3.0,12.0,0.12,0.12,0.0,0.12,0.04,0.48,0.12
calvin-wishart,Mon 11/15,@WSU,L73-65,20.0,2-4,50.0,0-1,0.0,0-0,0.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,0.15,0.05,0.05,0.15,0.1,0.2,0.15
calvin-wishart,Wed 11/10,vsSFSU,W119-65,22.0,1-3,33.3,1-1,100.0,6-6,100.0,7.0,3.0,0.0,1.0,3.0,3.0,9.0,0.32,0.14,0.0,0.05,0.14,0.41,0.14
cole-anderson,Fri 3/11,vsLBSU,L67-64,2.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cole-anderson,Thu 3/10,vsUCI,W78-69,9.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.11,0.0,0.0,0.0,0.33,0.0
cole-anderson,Thu 3/3,vsHAW,W67-60,5.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
cole-anderson,Tue 3/1,vsCSUN,W70-61,7.0,1-2,50.0,1-2,50.0,0-0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.43,0.0,0.0,0.0,0.0,0.43,0.0
cole-anderson,Sat 2/26,@UCR,W97-90 2OT,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
cole-anderson,Thu 2/24,@UCD,W76-69 OT,11.0,1-2,50.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.09,0.0,0.18,0.0
cole-anderson,Sat 2/19,vsLBSU,W84-71,17.0,1-5,20.0,0-3,0.0,0-0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.06,0.0,0.0,0.06,0.06,0.12,0.06
cole-anderson,Thu 2/17,vsCSUF,L67-58,15.0,2-6,33.3,1-4,25.0,0-0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.07,0.07,0.33,0.0
cole-anderson,Sat 2/12,@CP,W69-64,17.0,1-2,50.0,1-2,50.0,0-0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.06,0.0,0.0,0.06,0.06,0.18,0.0
cole-anderson,Thu 2/10,@CSUB,W74-62,30.0,6-9,66.7,4-7,57.1,2-2,100.0,0.0,0.0,0.0,0.0,3.0,1.0,18.0,0.0,0.0,0.0,0.0,0.1,0.6,0.03
cole-anderson,Sat 2/5,vsUCSD,W84-48,24.0,2-6,33.3,1-3,33.3,0-0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,5.0,0.12,0.12,0.0,0.0,0.04,0.21,0.04
