,0,player
PF,50.0,Data/espn_player_stats\miles-norris.csv
TO,47.0,Data/espn_player_stats\miles-norris.csv
PTS,289.0,Data/espn_player_stats\miles-norris.csv
Player,miles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norrismiles-norris,Data/espn_player_stats\miles-norris.csv
MIN,402.0,Data/espn_player_stats\robinson-idehen.csv
FG%,1600.1,Data/espn_player_stats\robinson-idehen.csv
3P%,0.0,Data/espn_player_stats\robinson-idehen.csv
FT%,921.7,Data/espn_player_stats\robinson-idehen.csv
REB,90.0,Data/espn_player_stats\robinson-idehen.csv
AST,5.0,Data/espn_player_stats\robinson-idehen.csv
BLK,24.0,Data/espn_player_stats\robinson-idehen.csv
STL,7.0,Data/espn_player_stats\robinson-idehen.csv
PF,58.0,Data/espn_player_stats\robinson-idehen.csv
TO,28.0,Data/espn_player_stats\robinson-idehen.csv
PTS,147.0,Data/espn_player_stats\robinson-idehen.csv
Player,robinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehenrobinson-idehen,Data/espn_player_stats\robinson-idehen.csv
MIN,303.0,Data/espn_player_stats\sekou-toure.csv
FG%,1123.4,Data/espn_player_stats\sekou-toure.csv
3P%,150.0,Data/espn_player_stats\sekou-toure.csv
FT%,516.7,Data/espn_player_stats\sekou-toure.csv
REB,69.0,Data/espn_player_stats\sekou-toure.csv
AST,23.0,Data/espn_player_stats\sekou-toure.csv
BLK,2.0,Data/espn_player_stats\sekou-toure.csv
STL,6.0,Data/espn_player_stats\sekou-toure.csv
PF,37.0,Data/espn_player_stats\sekou-toure.csv
TO,20.0,Data/espn_player_stats\sekou-toure.csv
PTS,70.0,Data/espn_player_stats\sekou-toure.csv
Player,sekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-touresekou-toure,Data/espn_player_stats\sekou-toure.csv
